Anchorage,AK,Tide-Harmonics,10-20-2017,19:19GMT
Constituent,Name,Amplitude,Phase,Speed
1,M2,3.531,107.8,28.984104
2,S2,1,150.4,30
3,N2,0.604,82,28.43973
4,K1,0.689,341.8,15.041069
5,M4,0.289,84.9,57.96821
6,O1,0.385,322.2,13.943035
7,M6,0.152,26.8,86.95232
8,MK3,0.079,10.9,44.025173
9,S4,0.021,215,60
10,MN4,0.105,65.7,57.423832
11,NU2,0.185,83,28.512583
12,S6,0,0,90
13,MU2,0.233,242.3,27.968208
14,2N2,0.144,40.7,27.895355
15,OO1,0.02,69.1,16.139101
16,LAM2,0.095,114.9,29.455626
17,S1,0,0,15
18,M1,0.05,57.6,14.496694
19,J1,0.032,57.4,15.5854435
20,MM,0.062,39.7,0.5443747
21,SSA,0.072,45.6,0.0821373
22,SA,0.054,230.2,0.0410686
23,MSF,0.143,50.4,1.0158958
24,MF,0.032,116.3,1.0980331
25,RHO,0.015,313.8,13.471515
26,Q1,0.063,331.2,13.398661
27,T2,0.059,150.4,29.958933
28,R2,0.008,150.3,30.041067
29,2Q1,0.01,302.6,12.854286
30,P1,0.162,347.2,14.958931
31,2SM2,0.064,350.3,31.015896
32,M3,0,0,43.47616
33,L2,0.162,122.5,29.528479
34,2MK3,0.118,22.4,42.92714
35,K2,0.269,142.3,30.082138
36,M8,0.043,358.2,115.93642
37,MS4,0.184,133.3,58.984104
38,SIGMA1,0.038,30.9,12.92714
39,MP1,0.088,72.9,14.025173
40,CHI1,0.012,299.2,14.569548
41,2PO1,0.013,144.3,15.974827
42,SO1,0.073,146.6,16.056965
43,MSN2,0.064,328.6,30.544374
44,MNS2,0.061,194.6,27.423834
45,OP2,0,0,28.901966
46,MKS2,0,0,29.066242
47,2NS2,0.036,182.9,26.87946
48,MLN2S2,0.041,202.2,26.952312
49,2ML2S2,0.023,48.3,27.496687
50,SKM2,0.028,342.1,31.098034
51,2MS2K2,0,0,27.803934
52,MKL2S2,0,0,28.59472
53,M2KS2,0,0,29.148378
54,2SNMK2,0,0,29.373487
55,2KMSN2,0,0,30.708649
56,SO3,0.05,44.1,43.943035
57,SK3,0.043,77.4,45.04107
58,NO3,0.04,355.3,42.382767
59,MK4,0.047,124.8,59.066242
60,SN4,0.022,147,58.439728
61,2MLS4,0.028,214.8,57.49669
62,3MS4,0.042,180.7,56.952312
63,ML4,0.03,88,58.512585
64,N4,0.034,18.9,56.87946
65,SL4,0.016,119,59.52848
66,MNO5,0.014,260.9,71.36687
67,2MO5,0.037,270.8,71.91125
68,2MK5,0.059,258.3,73.00928
69,MSK5,0.027,327.7,74.02517
70,3KM5,0.011,315,74.10731
71,2MP5,0.035,299.2,72.92714
72,3MP5,0.026,13.7,71.99338
73,MNK5,0.014,253.9,72.464905
74,2SM6,0.028,119.9,88.98411
75,2MN6,0.081,3.4,86.407936
76,MSN6,0.029,46.2,87.423836
77,2MS6,0.152,68.2,87.96821
78,2NMLS6,0.017,298.5,85.392044
79,2NM6,0.034,327.3,85.86356
80,MSL6,0.026,74.7,88.51258
81,2ML6,0.031,49,87.49669
82,MSK6,0.016,106.3,89.06624
83,2MLNS6,0.026,344.5,85.93642
84,3MLS6,0.032,170.3,86.48079
85,2MK6,0.038,61.3,88.05035
86,2MNO7,0.014,260.8,100.350975
87,2NMK7,0.022,237.1,100.90463
88,2MSO7,0.023,313.4,101.91125
89,MSKO7,0.013,132.9,103.00928
90,2MSN8,0.024,24,116.407936
91,3MS8,0.067,40.2,116.95232
92,2MS8,0.026,94.9,117.96821
93,2MN8,0.016,303.7,114.847664
94,3MN8,0.033,336.9,115.392044
95,2MSL8,0.017,49.4,117.49669
96,4MLS8,0.016,137.6,115.4649
97,3ML8,0.012,28.3,116.48079
98,3MK8,0.015,36.7,117.03445
99,2MSK8,0.012,83.8,118.05035
100,2M2NK9,0.01,184.2,129.88873
101,3MNK9,0,0,130.4331
102,4MK9,0,0,130.97748
103,3MSK9,0,0,131.99338
104,4MN10,0.013,280.9,144.37614
105,M10,0.013,316,144.92052
106,3MNS10,0.017,321,145.39204
107,4MS10,0.032,344.8,145.93642
108,3MSL10,0.013,354.5,146.48079
109,3M2S10,0.02,32.4,146.95232
110,4MSK11,0,0,160.97748
111,4MNS12,0.012,293.6,174.37614
112,5MS12,0.016,313.5,174.92052
113,4MSL12,0,0,175.46489
114,4M2S12,0.014,356.6,175.93642
115,TK1,0,0,14.917865
116,RP1,0,0,15.082135
117,KP1,0,0,15.123206
118,THETA1,0,0,15.512589
119,KJ2,0,0,30.626513
120,OO2,0,0,27.341696
121,MO3,0,0,42.92714
122,SK4,0,0,60.082138
123,2KO1,0,0,16.139101
124,2OK1,0,0,12.845002
